"country","value","pop"
"Japan","237541","126050.8040"
"Venezuela","214449","28704.9540"
"Sudan","177868","0"
"Greece","174151","10370.7440"
"Lebanon","157808","6769.1460"
"Italy","133427","60367.4770"
"Eritrea","127343","3601.4670"
"Cape Verde","125290","561.8980"
"Mozambique","124463","32163.0470"
"Portugal","119458","10167.9250"
"Barbados","117274","287.7110"
"Singapore","109373","5896.6860"
"United States","106702","332915.0730"
"Bhutan","103848","779.8980"
"Cyprus","101043","1215.5840"
"Bahrain","100189","1748.2960"
"Belgium","99568","11632.3260"
"France","99196","65426.1790"
"Spain","95962","46745.2160"
"Jordan","94834","10269.0210"
"Jamaica","94133","2973.4630"
"Belize","92637","404.9140"
"Angola","90456","33933.6100"
"Brazil","90360","213993.4370"
"Republic of the Congo","90189","5657.0130"
"Antigua and Barbuda","88348","98.7310"
"Canada","88013","38067.9030"
"Egypt","86927","104258.3270"
"United Kingdom","85665","68207.1160"
"Aruba","83572","107.2040"
"Sri Lanka","82990","21497.3100"
"Tunisia","81549","11935.7660"
"Mauritania","80615","4775.1190"
"Zambia","80501","18920.6510"
"Dominica","79842","72.1670"
"Gambia","78669","2486.9450"
"San Marino","77123","34.0170"
"Pakistan","76995","225199.9370"
"Argentina","75901","45605.8260"
"Sao Tome and Principe","74100","223.3680"
"Sierra Leone","72372","8141.3430"
"Suriname","72046","591.8000"
"Saint Lucia","71624","184.4000"
"Saint Vincent and the Grenadines","71377","111.2630"
"Uruguay","71344","3485.1510"
"Austria","71168","9043.0700"
"Croatia","70734","4081.6510"
"Montenegro","70576","628.0530"
"Togo","70395","8478.2500"
"India","69037","1393409.0380"
"El Salvador","68098","6518.4990"
"Mauritius","67495","1273.4330"
"Hungary","66618","9634.1640"
"Slovenia","65441","2078.7240"
"Albania","65125","2872.9330"
"Morocco","65110","37344.7950"
"Laos","64125","7379.3580"
"Burundi","63542","12255.4330"
"Djibouti","62986","1002.1870"
"Ireland","62418","4982.9070"
"Ukraine","62029","43466.8190"
"Senegal","61999","17196.3010"
"Ghana","61991","31732.1290"
"Maldives","61434","543.6170"
"Oman","61293","5223.3750"
"Bahamas","60492","396.9130"
"Nauru","60391","10.8760"
"Finland","59881","5548.3600"
"Saint Kitts and Nevis","59494","53.5440"
"Malawi","59012","19647.6840"
"Israel","58959","8789.7740"
"Gabon","58482","2278.8250"
"South Africa","57810","60041.9940"
"Puerto Rico","57703","2828.2550"
"Ethiopia","57428","117876.2270"
"Vietnam","57363","98168.8330"
"Guyana","57217","790.3260"
"Bolivia","57111","11832.9400"
"Germany","56934","83900.4730"
"Malaysia","56318","32776.1940"
"Costa Rica","56150","5139.0520"
"Grenada","56122","113.0210"
"Kyrgyzstan","56089","6628.3560"
"Niger","55604","25130.8170"
"Kenya","55502","54985.6980"
"China","55362","1444216.1070"
"Guinea-Bissau","54918","2015.4940"
"Yemen","54506","30490.6400"
"Seychelles","54492","98.9080"
"Mexico","54111","130262.2160"
"Benin","53998","12451.0400"
"Qatar","52738","2930.5280"
"Vanuatu","52183","314.4640"
"Netherlands","52045","17173.0990"
"Namibia","51599","2587.3440"
"Belarus","51081","9442.8620"
"Serbia","50947","8697.5500"
"Ivory Coast","50918","27053.6290"
"Iraq","50248","41179.3500"
"Fiji","50221","902.9060"
"Rwanda","49997","13276.5130"
"Trinidad and Tobago","49751","1403.3750"
"Tajikistan","49462","9749.6270"
"Samoa","49436","200.1490"
"Ecuador","49199","17888.4750"
"Colombia","49160","51265.8440"
"Armenia","47952","2968.1270"
"Poland","47475","37797.0050"
"Algeria","46918","44616.6240"
"Slovakia","46896","5460.7210"
"Liberia","46664","5180.2030"
"Guinea","45975","13497.2440"
"Georgia","45045","3979.7650"
"Uganda","44810","47123.5310"
"Chad","42912","16914.9850"
"Burkina Faso","42465","21497.0960"
"Malta","42458","442.7840"
"Central African Republic","42247","4919.9810"
"Dominican Republic","41922","10953.7030"
"Thailand","41474","69950.8500"
"Eswatini","41113","1172.3620"
"Australia","41098","25788.2150"
"Madagascar","41017","28427.3280"
"Nicaragua","40879","6702.3850"
"Honduras","40804","10062.9910"
"South Korea","40541","51305.1860"
"North Macedonia","40483","2082.6580"
"Switzerland","39486","8715.4940"
"Myanmar","39193","54806.0120"
"Philippines","39104","111046.9130"
"Cameroon","38111","27224.2650"
"Romania","37992","19127.7740"
"Lesotho","37947","2159.0790"
"South Sudan","37812","11381.3780"
"Panama","37808","4381.5790"
"Papua New Guinea","37724","9119.0100"
"Equatorial Guinea","37486","1449.8960"
"Sweden","37225","10160.1690"
"Mali","36928","20855.7350"
"Norway","36751","5465.6300"
"Latvia","36661","1866.9420"
"Tanzania","36573","61498.4370"
"Bosnia and Herzegovina","36335","3263.4660"
"Haiti","36235","11541.6850"
"Comoros","35075","888.4510"
"Bangladesh","34813","166303.4980"
"Taiwan","33914","23855.0100"
"Lithuania","33792","2689.8620"
"Denmark","33613","5813.2980"
"Iceland","33133","343.3530"
"Nepal","33073","29674.9200"
"Czech Republic","31571","10724.5550"
"Turkmenistan","30250","6117.9240"
"Nigeria","30050","211400.7080"
"Iran","30035","85028.7590"
"Turkey","29929","85042.7380"
"Cambodia","29572","16946.4380"
"Indonesia","29288","276361.7830"
"Moldova","28823","4024.0190"
"New Zealand","28065","4860.6430"
"Peru","27179","33359.4180"
"Chile","27168","19212.3610"
"Guatemala","24759","18249.8600"
"Saudi Arabia","23708","35340.6830"
"Kiribati","23485","121.3920"
"Marshall Islands","23373","59.6100"
"Uzbekistan","23226","33935.7630"
"Paraguay","22367","7219.6380"
"Tuvalu","21809","11.9310"
"Luxembourg","21615","634.8140"
"Zimbabwe","20987","15092.1710"
"Kazakhstan","20896","18994.9620"
"Bulgaria","19331","6896.6630"
"United Arab Emirates","19202","9991.0890"
"Micronesia","18411","116.2540"
"Kuwait","17784","4328.5500"
"Azerbaijan","17586","10223.3420"
"Solomon Islands","14556","703.9960"
"DR Congo","14008","92377.9930"
"Russia","13788","145912.0250"
"Botswana","12775","2397.2410"
"Estonia","7613","1325.1850"
"Afghanistan","6884","39835.4280"
"Brunei","2633","441.5320"
