"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","2229821.2063","507562.684","486891270.1498","177070329.726","9944134.0782","6871508.3799","1508379.8883","1675977.6536","893854.748603352","223463.687150838","31284916.2011173","-1787709.4972067","2625698.32402235","-3687150.83798883","-6145251.39664804","-3240223.46368715","-8156424.58100559","-8863534.76949511","-12822664.7351483","39553072.6256983","2793296.08938548","1508379.88826816","2737430.16759777","3128491.62011173","2793296.08938548","4419814.52513967","8864325.69832402","10514787.7094972","-418749.109909617","83180629.4859749","30339965.516382","59817968.1086556","",
"Afghanistan","AFG","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","1000000","-700000","1500000","","","-1918036.13352597","247111.034433406","-1248047.48845387","1137137.38873923","-8860851.34389303","537318.99040943","-19153.710717345","2163053.08831476","14006046.5507614","11260735.7647647","38803701.6430421","26321046.5766518","",
"Angola","AGO","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","900000","0","188900.727","2000000","-2000000","-1000000","-12420956.3263","3973419.4138","0","-88285","0","0","100111000","95900000","783236000","219362057.12","190585085.92","911781455.46","2569643973.88","6753124.58","1340429383.96","2092642447.92077","886475740.615268","921566192.173228","886792456.704808","-784870216.626256","273005000","1352005056.9","5714167.48479243","-2349425835.33608","",
"Albania","ALB","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13603902.3661545","4061523.92699014","10500000","4910319.91631329","365935742.705462","394652571.591844","46386529.5165945","202090000.435403","83178444.520999","28449540.9228271","75647491.6332711","79310556.1473237","7038767.39963467","-106176134.436441","-4513335.95695979","39976866.3476732","",
"Andorra","AND","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","2000000","1000000","6679998.14593788","8478270.21676872","2415176.84949474","134347140.935463","116154814.214055","174614507.304245","175492298.546253","-114843132.293798","710384187.173273","-90992113.1891694","429673496.783821","249850338.215064","239146996.075664","132351847.12722","360876165.856534","955106884.081402","2218917510.06925","1825719060.69612","-66458023.7018888","78210413.7228723","1382643182.76231","324491677.863912","-188713442.257892","-555552222.322969","2722161131.65997","208468695.799299","-915168841.948927","1193148640.40372","2302109811.68581","-708115934.229136","2969735924.19121","-1749125153.74424","7949863192.04457","11649730154.7113","22811486776.5361","37383612188.6764","44017081564.9119","18932233382.0446","21063816211.3664","31319881579.5594","21536562979.1069","43317570460.7337","40351962570.7938","37324660948.4704","41211133516.5497","35100572180.481","45303465876.1018","41412332610.7531","",
"United Arab Emirates","ARE","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","-2000000","3000000","8000000","3000000","10000000","11069596.856","-23325605.3068","-11108923.1968","69610177.7816","3687066.7138","-57651390.6993","10441825.5284","15196200.0261","30759464.1744","577000890.5029","62466873.5578","128613431.1331","231131677.8313","127300067.2715","317106416.9858","423667086.2536","213701291.1632","441116405.7182","991150442.4779","2208000000","3750300000","10891763104.1525","14567733151.8039","15820299999.9","2722900000","2015000000","2178000000","2536010989.2","8828337874.6","11735900000","16691599999.9","15711400000","14059946000","15079291999.9","15901112942.7793","",
"Argentina","ARG","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","1817000","","1673000","","2396000","4487000","1542000","-1000000","-23000000","-59000000","-110000000","-107000000","-30000000","2000000","43559000","42349047.526","11199789.6597","48130952.7512","-22677108.885","64400565.2086","34902986.2475","49385693.9138","1165914300","705070000","1012844000","1497149000","1600749000","3652818000","2325477000","1730283000","901028199.337856","160876687.495159","-627140000","773780000","675990000","1311060000","2438720720.56097","1504232961.34457","1390934588.87756","711546403.745669","964760680.391808","1488000000","1054849578.05633","889972858.727091","1920541433.10505","875233227.354258","1786530934.74804","1155630218.02453","1802220666.78162","1539216162.68032","",
"Armenia","ARM","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","11546000","0","0","0","1531.79396411895","609017.725054563","-124251.615741057","5389048.33419248","22627066.2732679","8891714.10689734","30506460.9457783","52240416.0162577","27459062.6492974","219081534.082655","23425969.0675175","30262870.0737815","28804082.7021233","28751924.3342048","70519382.3653528","29056823.8983208","7012505.83172007","-142555366.383583","",
"American Samoa","ASM","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6332102.67407407","14075528.7777778","37982582.2788889","-2339110.83864815","-29914606.1876883","11276049.3827","",
