"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","981607427.198877","1139434503.72889","1351923640.91077","1515909822.86634","1575961100.76557","1701452873.81139","1801538336.97676","1933189215.44814","2091786180.15635","2145066984.42771","2170502935.00301","2323455541.5216","2369738447.19726","2399076806.9702","2581804607.81403","2505092564.79457","2423084691.96376","2470953875.24177","2666444959.29254","2698824916.29108","2727178974.02819","2776274358.20761","2773756053.97674","2481963892.1005","2390502793.29609","2472880828.36298","2439005748.52239","2541400876.22235","2549025078.85102","2694319530.67228","2750900229.65302","2805918209.60966","","","",
"Afghanistan","AFG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7465114629.45783","8124454291.89637","8239343660.83276","9164598458.53792","9655582953.98018","10990594706.5564","11421973770.8233","13865194314.7185","15856574731.441","15924179997.7914","17954877146.6564","18960483969.8941","19477070577.8584","19759744157.4377","20206376461.4103","20741239893.4132","20987900552.5239","21808863988.0303","",
"Angola","AGO","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","26637104502.1564","25465071579.2589","25465071579.2589","26534604949.3159","28126681820.5827","29111115540.7262","29955338398.7124","31178339568.7414","33089225853.2073","33102998072.7204","31960911971.9797","32277759445.6456","30393293234.844","23103942843.9427","23413388606.7796","26925396904.5545","30572272219.3363","32796184094.1753","34334701120.3514","35083709095.1369","36155384575.451","37676079528.6812","42824774451.2357","44105170974.6178","48935949384.3211","56290491777.1201","62790739426.972","71587733475.3748","79581318822.8055","80264693646.7985","83799496611.2004","86708995310.3851","94115840392.858","98778851724.4208","103542587859.422","104519586272.323","101822929058.742","101673032530.175","99635881425.7512","99013511554.0281","",
"Albania","ALB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","5323398063.85534","5629261101.74622","5795245314.54426","5859279197.3914","5785944655.55332","5888971729.57823","6220947386.67305","6171936109.61493","6084292169.38809","6682776548.1368","6042857912.55639","4350728279.80877","4038036612.66906","4424049156.84258","4791372056.26117","5429694612.20147","5923796791.7011","5276919124.81347","5742875711.85154","6483126460.62459","6933706092.26578","7508515182.79876","7849398816.77983","8283474557.11024","8739893896.95844","9223202583.88038","9767379279.88863","10351466806.2388","11127823665.7504","11500613161.6647","11926928505.5231","12230507222.1843","12403877841.0321","12528163103.1195","12750473701.7819","13033375121.5884","13465406059.6498","13977387390.5945","14546448944.4056","14872299622.2198","",
"Andorra","AND","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","1012346692.50671","1059415401.3062","1145755038.99145","1234991794.42933","1304383386.5365","1311455827.07027","1354783534.84503","1393240089.2387","1413623194.23724","1414210656.38646","1445446717.57423","1443531869.0965","1461524932.50469","1487395653.0415","1513941005.34203","1549086131.92805","1599482888.42279","1688208158.34045","1774210988.9159","1859852760.9129","1930181002.39944","1979323466.15294","1997715576.45406","1977109459.69853","2024227688.97942","2080045751.05274","2176762473.45181","2374144159.09756","2449993086.30684","2550420283.40651","2640408325.59989","2854792522.86889","2984581731.4066","3244067347.20933","3507994166.77714","3697348535.06562","3875142516.24022","3935330770.25056","3716558398.51518","3519475009.94299","3449966856.68832","3449688452.87021","3278085642.31738","3161792390.29564","3240978390.56079","3287458570.8604","3409412700.51704","3421211719.47501","3475566750.62972","3539838260.639","",
"Arab World","ARB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","569867002176.435","659565927436.652","713939243954.166","709071800225.955","791961458007.198","863894312121.519","890144617469.718","809331411563.303","753519262912.979","763511300046.226","745444772999.767","780366520513.23","776154356301.2","820173090820.374","839669837197.236","949891852789.141","964169373642.685","1011787252457.38","1044847540053.8","1078323559519.97","1107966189960.98","1158846918686.53","1207808061484.67","1271408802255.49","1294305266564.4","1365443237250.92","1386795220016.67","1394699488511.29","1468878987981.49","1606570604848.11","1698906681561.49","1809364339876.4","1891216470698.04","2001118819983.46","2009522983752.78","2103331412247.86","2182183214838.19","2327565114941.74","2404078491899.84","2464302496686.38","2544227517990.95","2633456825207.35","2655073463824.26","2710284893596.95","2750603986533.94","",
"United Arab Emirates","ARE","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","56806673982.3009","66195031477.1954","80386802831.8584","79108971545.2689","95661395017.0184","118500337753.574","124021477848.877","115688082614.023","110197733641.933","114624322913.547","110504178543.227","93974812607.2158","97153023580.6671","94608675561.6065","106281391095.984","125760629081.007","126842273546.63","131085077658.271","132738310796.46","141892141892.444","151381727243.022","160159451463.581","173277148999.319","173783108481.96","178826665568.414","198234194635.807","201007659577.944","205899094159.292","224019327978.216","245449995044.248","257366938869.98","282684947637.849","291686739332.879","300996902491.491","285215869952.349","289787338325.391","309870388019.061","323766916269.571","340127978216.474","354700093723.621","372810856991.15","384222464261.402","393342125492.114","398022328963.216","404700030656.58","",
"Argentina","ARG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","115573868508.15","121847036500.547","120808873523.837","114396100733.294","125984766250.65","139300642138.499","138381639345.114","142798776600.374","149685248718.023","164174071297.927","169174227931.948","178746327507.296","181657062226.624","186764812014.466","197100011389.723","197044011131.933","193067167388.744","206454730042.606","197151622246.269","217305966255.665","220606374392.254","209157368731.779","207618683386.485","216648213592.787","220051190931.379","208632681046.742","221470636587.663","227461126795.486","224981952135.065","208880107086.685","203726588308.536","222333162871.504","239980394235.249","259675534967.549","274830720366.623","267011210297.951","281768091694.844","304622433397.251","316350941905.026","305641016669.195","303229512290.352","289860609223.184","258281789127.305","281106256200.528","306488951656.956","333618311350.415","360465082297.96","392934518437.813","408876787794.809","384677312577.801","423627422092.49","449061807872.401","444452545623.356","455143068397.581","443707073929.401","455825423287.839","446342760088.163","458922944048.575","447149955692.001","437813398153.622","",
"Armenia","ARM","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6352022584.91398","5608836038.83693","3264342420.59813","2977080326.97653","3137842747.37158","3354353847.35403","3551100143.05546","3669035009.04982","3936874564.25953","4066791424.903","4306732119.09919","4720178402.50153","5343241951.53429","6091295824.83192","6730881886.36741","7666474468.51279","8678449098.31555","9867396624.91901","10548246992.0808","9060944166.1236","9260284937.79781","9695518329.75153","10393595649.5872","10736584306.0236","11123101341.1038","11479040583.9041","11501998665.0519","12364648565.1196","13007610290.463","13996188672.3481","",
"American Samoa","ASM","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","623365638.76652","628440528.634361","631823788.546256","629286343.612335","603066079.295154","614907488.986784","598837004.405286","573462555.066079","576000000","577691629.955947","552317180.61674","537092511.013216","542167400.881057","549779735.682819","534555066.079295","503259911.894273","514255506.60793","","",
