"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GNI (constant 2010 US$)","NY.GNP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2250223463.68715","","","","","","","","","","",
"Afghanistan","AFG","GNI (constant 2010 US$)","NY.GNP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15884505937.9604","","","","","","","","","","",
"Angola","AGO","GNI (constant 2010 US$)","NY.GNP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28379157093.5849","31001482603.6901","38289459395.3468","39812921238.0527","43372028075.4201","49133349388.1007","53603950189.6715","62350041892.3816","66046176329.2157","73906516145.4681","75712633817.0538","78217087051.4128","85737444516.3246","91244434558.8646","97349429097.6658","100080876096.485","97253396045.9651","95953833251.8463","91899753012.6672","","",
"Albania","ALB","GNI (constant 2010 US$)","NY.GNP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11174545010.1307","11319395205.3161","11807221086.4882","12233443747.2222","12313196814.2972","12738387322.99","12865635814.7727","13182580285.4998","13675941055.2243","14012576300.1604","14530516616.4963","","",
"Andorra","AND","GNI (constant 2010 US$)","NY.GNP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI (constant 2010 US$)","NY.GNP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1446335342696.81","1442827253915.24","1546262021785.24","1658829237914.59","1748731391747.57","1847350702307.44","1937855141043.78","2031878255282.55","2025559453379.12","2092900698126.17","2211876196260.74","2314776134638.5","2397203326445.51","2480494602246.65","2582186584005","2655912746273.64","2677702813034.11","2720151722783.76","2742384441213.09","",
"United Arab Emirates","ARE","GNI (constant 2010 US$)","NY.GNP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210969118089.629","207655982209.582","223920828207.474","246626720490.575","261726466928.946","289449055743.015","302464936648.697","305413178795.966","288327759134.087","289703471749.489","310003042091.112","324054909739.322","340580421534.965","355354356195.877","374545162122.933","386324828023.776","396136710972.332","399331894254.242","406728381681.666","",
"Argentina","ARG","GNI (constant 2010 US$)","NY.GNP.MKTP.KD","118540623729.492","125242409462.566","123977639485.853","117388781259.026","129491245248.815","143056979254.674","144079423275.856","143479631746.127","147680648754.975","163244825178.333","163176387802.133","180734245009.998","179152729294.116","187611156437.778","197978830004.664","199864726205.168","193354954284.391","205130374356.311","196174134728.771","215659816759.434","218925592825.218","204528163887.645","195961321584.461","205165743402.849","209393952614.772","198314254306.668","212345175316.56","217873215857.373","216113569799.966","192579571502.118","195718189468.236","216088500473.652","235848466598.999","256816246630.922","271352989637.219","262674501465.205","276576921488.365","298711468795.464","309154163625.343","298272857926.643","295792631843.253","282145413163.107","244889728897.441","269871461891.79","272757377481.215","296407995703.512","348926323865.748","382944577268.105","398862630314.088","372970619569.294","409079888900.219","436034208460.785","433091939874.605","444215077044.658","433982389689.694","446655371678.134","436597679070.214","446987345470.036","429940308038.38","419495538605.353","",
"Armenia","ARM","GNI (constant 2010 US$)","NY.GNP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3132736400.47537","3454050579.70001","3661689900.36618","3905401270.07745","4071296104.62423","4200846183.93107","4445332388.87248","4866310974.61977","5536143937.506","6309218370.76729","7023979227.49019","8005185385.54602","9106411781.27661","10430484980.9903","11211930326.1782","9438037359.48643","9718566137.71057","10042415817.5332","10826696352.6137","11400161218.0631","11627246417.2005","11939114076.3564","11774670500.7579","12802113745.5992","13250140026.8298","14242858045.2566","",
"American Samoa","ASM","GNI (constant 2010 US$)","NY.GNP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI (constant 2010 US$)","NY.GNP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1120979666.66667","","","","","","","","","","",
