"country","literacyRate","pop2021"
"Greenland","100","56.8770"
"Andorra","100","77.3550"
"North Korea","100","25887.0410"
"Uzbekistan","100","33935.7630"
"San Marino","99.9000","34.0170"
"Latvia","99.9000","1866.9420"
"Estonia","99.8000","1325.1850"
"Lithuania","99.8000","2689.8620"
"Belarus","99.8000","9442.8620"
"Tajikistan","99.8000","9749.6270"
"Azerbaijan","99.8000","10223.3420"
"Cuba","99.8000","11317.5050"
"Kazakhstan","99.8000","18994.9620"
"Poland","99.8000","37797.0050"
"Ukraine","99.8000","43466.8190"
"Slovenia","99.7000","2078.7240"
"Armenia","99.7000","2968.1270"
"Turkmenistan","99.7000","6117.9240"
"Russia","99.7000","145912.0250"
"Barbados","99.6000","287.7110"
"Kyrgyzstan","99.6000","6628.3560"
"Tonga","99.4000","106.7600"
"Georgia","99.4000","3979.7650"
"Moldova","99.4000","4024.0190"
"Croatia","99.3000","4081.6510"
"Samoa","99.1000","200.1490"
"Fiji","99.1000","902.9060"
"Cyprus","99.1000","1215.5840"
"Hungary","99.1000","9634.1640"
"Antigua and Barbuda","99","98.7310"
"Trinidad and Tobago","99","1403.3750"
"Czech Republic","99","10724.5550"
"Argentina","99","45605.8260"
"Cayman Islands","98.9000","66.4970"
"Montenegro","98.8000","628.0530"
"Romania","98.8000","19127.7740"
"Uruguay","98.7000","3485.1510"
"Grenada","98.6000","113.0210"
"Bosnia and Herzegovina","98.5000","3263.4660"
"Taiwan","98.5000","23855.0100"
"Mongolia","98.4000","3329.2890"
"Spain","98.4000","46745.2160"
"Marshall Islands","98.3000","59.6100"
"Serbia","98.3000","8697.5500"
"Jordan","98.2000","10269.0210"
"Philippines","98.2000","111046.9130"
"Albania","98.1000","2872.9330"
"Costa Rica","97.9000","5139.0520"
"Aruba","97.8000","107.2040"
"North Macedonia","97.8000","2082.6580"
"Israel","97.8000","8789.7740"
"Maldives","97.7000","543.6170"
"Greece","97.7000","10370.7440"
"Bahrain","97.5000","1748.2960"
"Singapore","97.3000","5896.6860"
"Brunei","97.2000","441.5320"
"Palestine","97.2000","5222.7480"
"Venezuela","97.1000","28704.9540"
"New Caledonia","96.9000","288.2180"
"China","96.8000","1444216.1070"
"Palau","96.6000","18.1690"
"Macau","96.5000","658.3940"
"Chile","96.4000","19212.3610"
"Turkey","96.2000","85042.7380"
"Kuwait","96.1000","4328.5500"
"Seychelles","95.9000","98.9080"
"Oman","95.7000","5223.3750"
"Indonesia","95.7000","276361.7830"
"Panama","95.4000","4381.5790"
"Mexico","95.4000","130262.2160"
"Equatorial Guinea","95.3000","1449.8960"
"Saudi Arabia","95.3000","35340.6830"
"Lebanon","95.1000","6769.1460"
"Colombia","95.1000","51265.8440"
"Vietnam","95","98168.8330"
"Malta","94.5000","442.7840"
"Suriname","94.4000","591.8000"
"Peru","94.4000","33359.4180"
"Paraguay","94","7219.6380"
"United Arab Emirates","93.8000","9991.0890"
"Dominican Republic","93.8000","10953.7030"
"Malaysia","93.7000","32776.1940"
"Qatar","93.5000","2930.5280"
"Brazil","93.2000","213993.4370"
"Thailand","92.9000","69950.8500"
"Sao Tome and Principe","92.8000","223.3680"
"Bolivia","92.5000","11832.9400"
"Puerto Rico","92.4000","2828.2550"
"Namibia","91.5000","2587.3440"
"Mauritius","91.3000","1273.4330"
"Libya","91","6958.5320"
"Jamaica","88.7000","2973.4630"
"Guyana","88.5000","790.3260"
"Botswana","88.5000","2397.2410"
"El Salvador","88.5000","6518.4990"
"Eswatini","88.4000","1172.3620"
"Vanuatu","87.5000","314.4640"
"Honduras","87.2000","10062.9910"
"South Africa","87","60041.9940"
"Cape Verde","86.8000","561.8980"
"Zimbabwe","86.5000","15092.1710"
"Syria","86.4000","18275.7020"
"Iran","85.5000","85028.7590"
"Gabon","84.7000","2278.8250"
"Laos","84.7000","7379.3580"
"Tunisia","81.8000","11935.7660"
"Guatemala","81.5000","18249.8600"
"Kenya","81.5000","54985.6980"
"Algeria","81.4000","44616.6240"
"Cambodia","80.5000","16946.4380"
"Lesotho","79.4000","2159.0790"
"Tanzania","77.9000","61498.4370"
"Cameroon","77.1000","27224.2650"
"Eritrea","76.6000","3601.4670"
"Ghana","76.6000","31732.1290"
"Uganda","76.5000","47123.5310"
"Myanmar","75.6000","54806.0120"
"Madagascar","74.8000","28427.3280"
"India","74.4000","1393409.0380"
"Bangladesh","73.9000","166303.4980"
"Morocco","73.8000","37344.7950"
"Rwanda","73.2000","13276.5130"
"Egypt","71.2000","104258.3270"
"Angola","71.1000","33933.6100"
"Yemen","70.1000","30490.6400"
"Burundi","68.4000","12255.4330"
"Nepal","67.9000","29674.9200"
"Bhutan","66.6000","779.8980"
"Papua New Guinea","64.2000","9119.0100"
"Togo","63.7000","8478.2500"
"Malawi","62.1000","19647.6840"
"Nigeria","62","211400.7080"
"Haiti","61.7000","11541.6850"
"Mozambique","60.7000","32163.0470"
"Sudan","60.7000","44909.3530"
"Guinea-Bissau","59.9000","2015.4940"
"Pakistan","59.1000","225199.9370"
"Comoros","58.8000","888.4510"
"Mauritania","53.5000","4775.1190"
"Senegal","51.9000","17196.3010"
"Ethiopia","51.8000","117876.2270"
"Gambia","50.8000","2486.9450"
"Iraq","50.1000","41179.3500"
"Liberia","48.3000","5180.2030"
"Ivory Coast","47.2000","27053.6290"
"Sierra Leone","43.2000","8141.3430"
"Afghanistan","43","39835.4280"
"Benin","42.4000","12451.0400"
"Burkina Faso","41.2000","21497.0960"
"Central African Republic","37.4000","4919.9810"
"Mali","35.5000","20855.7350"
"South Sudan","34.5000","11381.3780"
"Guinea","30.4000","13497.2440"
"Chad","22.3000","16914.9850"
"Niger","19.1000","25130.8170"
