"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Number of deaths ages 10-14 years","SH.DTH.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Number of deaths ages 10-14 years","SH.DTH.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2207","2187","2205","2234","2244","2235","2190","2137","2099","2085","2107","2150","2204","2274","2384","2525","2698","2899","3101","3252","3299","3243","3106","2908","2662","2424","2241","2118","2030","1961","",
"Angola","AGO","Number of deaths ages 10-14 years","SH.DTH.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4108","4241","4395","6907","4740","4907","5057","5197","5331","5449","5535","5586","5616","5625","5609","5572","5506","5434","5353","5279","5210","5133","5073","5035","5016","5020","5050","5092","5157","5208","",
"Albania","ALB","Number of deaths ages 10-14 years","SH.DTH.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","173","163","154","145","138","133","127","168","121","120","119","116","113","109","105","100","94","89","84","80","75","69","63","57","53","49","45","42","38","35","",
"Andorra","AND","Number of deaths ages 10-14 years","SH.DTH.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","",
"Arab World","ARB","Number of deaths ages 10-14 years","SH.DTH.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25411","30491","24449","24186","24304","24438","23378","23526","23181","22248","21793","21349","20941","25008","23878","24210","26835","25505","21818","20599","20036","20873","26223","28738","31933","29549","29074","26530","23558","22378","",
"United Arab Emirates","ARE","Number of deaths ages 10-14 years","SH.DTH.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","47","49","51","53","55","56","57","59","63","66","65","62","61","61","63","62","62","64","68","70","72","71","70","70","73","76","79","82","85","",
"Argentina","ARG","Number of deaths ages 10-14 years","SH.DTH.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1173","1169","1150","1118","1086","1061","1044","1037","1037","1036","1030","1021","1017","1022","1035","1053","1068","1070","1054","1023","985","946","913","888","869","855","839","815","780","744","",
"Armenia","ARM","Number of deaths ages 10-14 years","SH.DTH.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97","89","82","92","71","67","64","62","61","59","57","55","53","51","48","46","44","41","39","37","35","34","34","33","34","34","34","35","36","36","",
"American Samoa","ASM","Number of deaths ages 10-14 years","SH.DTH.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
