"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Number of deaths ages 5-9 years","SH.DTH.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Number of deaths ages 5-9 years","SH.DTH.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4567","4491","4499","4520","4506","4456","4362","4254","4156","4096","4093","4133","4208","4322","4505","4716","4996","5268","5477","5551","5455","5192","4841","4414","3950","3514","3175","2931","2744","2584","",
"Angola","AGO","Number of deaths ages 5-9 years","SH.DTH.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12509","13000","13506","15555","14449","14821","15224","15510","15692","15754","15696","15671","15562","15351","15015","14598","14210","13814","13377","12953","12514","12101","11729","11420","11148","10914","10757","10604","10494","10336","",
"Albania","ALB","Number of deaths ages 5-9 years","SH.DTH.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","266","250","234","219","204","191","179","174","160","151","142","134","125","117","108","100","92","84","76","69","62","55","50","45","41","38","35","33","32","31","",
"Andorra","AND","Number of deaths ages 5-9 years","SH.DTH.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","",
"Arab World","ARB","Number of deaths ages 5-9 years","SH.DTH.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50737","53130","48467","47412","46517","45562","44125","43384","42344","40967","39833","38852","37939","40873","39430","39278","41233","39803","36275","34818","33938","34164","38009","39982","42458","40357","39834","37508","34755","33550","",
"United Arab Emirates","ARE","Number of deaths ages 5-9 years","SH.DTH.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66","66","67","67","66","65","66","67","69","70","72","68","64","61","60","61","62","65","68","70","71","75","78","80","83","85","88","91","92","93","",
"Argentina","ARG","Number of deaths ages 5-9 years","SH.DTH.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1083","1062","1044","1027","1011","995","979","967","957","945","927","908","890","877","871","872","877","877","867","846","816","782","750","724","704","688","673","652","623","593","",
"Armenia","ARM","Number of deaths ages 5-9 years","SH.DTH.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","129","118","108","107","90","83","77","70","64","59","54","50","46","42","39","37","35","35","35","35","36","37","38","39","41","42","42","43","43","43","",
"American Samoa","ASM","Number of deaths ages 5-9 years","SH.DTH.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Number of deaths ages 5-9 years","SH.DTH.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","",
