"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Surface area (sq. km)","AG.SRF.TOTL.K2","","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","","",
"Afghanistan","AFG","Surface area (sq. km)","AG.SRF.TOTL.K2","","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","","",
"Angola","AGO","Surface area (sq. km)","AG.SRF.TOTL.K2","","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","","",
"Albania","ALB","Surface area (sq. km)","AG.SRF.TOTL.K2","","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","","",
"Andorra","AND","Surface area (sq. km)","AG.SRF.TOTL.K2","","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","","",
"Arab World","ARB","Surface area (sq. km)","AG.SRF.TOTL.K2","","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11290988.9","11291008.9","11291008.9","11291008.9","11291008.9","11291008.9","11291008.9","11291008.9","11291008.9","11291008.9","11291008.9","11291008.9","11291018.9","11291028.9","11291038.9","11291038.9","11291048.9","11291058.9","11288518.9","11288520.9","13142632.788","13142634.927","13142446.241","13142326.672","13142335.687","13142335.815","13142338.823","13142337.305","","",
"United Arab Emirates","ARE","Surface area (sq. km)","AG.SRF.TOTL.K2","","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","","",
"Argentina","ARG","Surface area (sq. km)","AG.SRF.TOTL.K2","","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","","",
"Armenia","ARM","Surface area (sq. km)","AG.SRF.TOTL.K2","","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","","",
"American Samoa","ASM","Surface area (sq. km)","AG.SRF.TOTL.K2","","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","","",
"Antigua and Barbuda","ATG","Surface area (sq. km)","AG.SRF.TOTL.K2","","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","","",
"Australia","AUS","Surface area (sq. km)","AG.SRF.TOTL.K2","","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","","",
"Austria","AUT","Surface area (sq. km)","AG.SRF.TOTL.K2","","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","","",
"Azerbaijan","AZE","Surface area (sq. km)","AG.SRF.TOTL.K2","","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","","",
"Burundi","BDI","Surface area (sq. km)","AG.SRF.TOTL.K2","","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","","",
"Belgium","BEL","Surface area (sq. km)","AG.SRF.TOTL.K2","","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","","",
"Benin","BEN","Surface area (sq. km)","AG.SRF.TOTL.K2","","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","","",
